Názov obce,GPS,Názov obce (google maps),Okres,GPS,Okres (google maps),Čas autom,Čas autom (sekundy),Vzdialenosť autom,Vzdialenosť autom (metre)
Diakovce,"[48.1356308, 17.81728818]","1349, 925 81 Diakovce, Slovakia",Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",11 mins,681,7.2 km,7177
Dlhá nad Váhom,"[48.18177555, 17.86307766]","573, 927 05 Dlhá nad Váhom, Slovakia",Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",11 mins,653,6.9 km,6898
Kráľová nad Váhom,"[48.17676952, 17.82851593]","Unnamed Road, 925 91 Kráľová nad Váhom, Slovakia",Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",13 mins,765,7.0 km,6976
Neded,"[48.00340318, 17.96175373]","Neded 1449, 925 85 Neded, Slovakia",Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",27 mins,1590,19.2 km,19161
Selice,"[48.09058191, 17.95537042]","Záhradnícka 367, 925 72 Selice, Slovakia",Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",23 mins,1360,16.1 km,16112
Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",1 min,0,1 m,0
Tešedíkovo,"[48.08832973, 17.84357176]","Unnamed Road, 925 82 Tešedíkovo, Slovakia",Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",18 mins,1105,10.6 km,10572
Trnovec nad Váhom,"[48.14909715, 17.94898411]","Unnamed Road, 925 71 Trnovec nad Váhom, Slovakia",Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",15 mins,913,9.5 km,9476
Vlčany,"[48.02643638, 17.92281612]","925 84 Vlčany, Slovakia",Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",17 mins,1033,14.8 km,14780
Žihárec,"[48.06362752, 17.89100308]","Žihárec, Slovakia",Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",14 mins,858,13.8 km,13759
Horná Kráľová,"[48.24498569, 17.90864382]","Sereďská 566, 951 32 Horná Kráľová, Slovakia",Šaľa,"[48.13944734, 17.89096684]","Šaľa, Slovakia",20 mins,1192,15.4 km,15439
Martovce,"[47.86397181, 18.10941311]","Martovce 340, 947 01 Martovce, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",31 mins,1847,22.2 km,22236
Moča,"[47.77296866, 18.40868927]","Unnamed Road, 946 37 Moča, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",37 mins,2214,30.2 km,30162
Modrany,"[47.81730951, 18.35505818]","Modrany, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",36 mins,2176,29.1 km,29100
