Názov obce,GPS,Názov obce (google maps),Okres,GPS,Okres (google maps),Čas autom,Čas autom (sekundy),Vzdialenosť autom,Vzdialenosť autom (metre)
Ostrovany,"[49.0576324, 21.11230003]","Ostrovany 226, 082 22 Ostrovany, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",10 mins,574,6.4 km,6446
Pečovská Nová Ves,"[49.12644456, 21.05120248]","Na Pečovec 51/9, 082 56 Pečovská Nová Ves, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",7 mins,439,5.4 km,5403
Poloma,"[49.17091695, 20.823981]","Poloma 204, 082 73 Poloma, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",28 mins,1675,24.6 km,24607
Ratvaj,"[49.12426703, 21.19328862]","3174, 082 66 Ratvaj, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",11 mins,681,8.7 km,8672
Ražňany,"[49.08226479, 21.07860125]","Ražňany 101, 082 61 Ražňany, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",5 mins,312,3.5 km,3459
Renčišov,"[49.08971159, 20.95069245]","Unnamed Road, 082 63 Renčišov, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",20 mins,1205,16.7 km,16658
Rožkovany,"[49.1250152, 20.9807799]","082 71 Rožkovany, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",14 mins,847,10.9 km,10888
Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",1 min,0,1 m,0
Šarišské Dravce,"[49.18706735, 20.85095011]","3171, 082 73 Šarišské Dravce, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",25 mins,1522,23.3 km,23328
Šarišské Michaľany,"[49.07264197, 21.14578894]","Družstevná 912, 082 22 Šarišské Michaľany, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",8 mins,466,5.2 km,5191
Šarišské Sokolovce,"[49.12793451, 21.15926274]","Šarišské Sokolovce 174, 082 66 Šarišské Sokolovce, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",12 mins,737,7.2 km,7193
Tichý Potok,"[49.13315144, 20.78787721]","Unnamed Road, 082 74 Tichý Potok, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",37 mins,2218,27.3 km,27346
Torysa,"[49.15475901, 20.88161229]","Torysa 79, 082 76 Torysa, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",23 mins,1399,19.8 km,19836
Uzovce,"[49.0865393, 21.18057389]","Uzovce 182, 082 66 Uzovce, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",11 mins,683,8.5 km,8545
Uzovské Pekľany,"[49.09348137, 21.00562755]","082 63 Uzovské Pekľany, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",17 mins,998,11.7 km,11668
Uzovský Šalgov,"[49.0994058, 21.03917652]","Unnamed Road, 082 61 Uzovský Šalgov, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",13 mins,806,6.4 km,6428
Vysoká,"[49.11913997, 20.88839759]","Vysoká 25, 082 74 Vysoká, Slovakia",Sabinov,"[49.10068637, 21.10293903]","68 17-19, 083 01 Sabinov, Slovakia",30 mins,1829,26.2 km,26200
Bytča,"[49.23292869, 18.54491999]","Pšurnovická 1154/12, 014 01 Bytča - sever, Slovakia",Bytča,"[49.23292869, 18.54491999]","Pšurnovická 1154/12, 014 01 Bytča - sever, Slovakia",1 min,0,1 m,0
Hvozdnica,"[49.20774955, 18.48155132]","Hvozdnica 358, 013 56 Hvozdnica, Slovakia",Bytča,"[49.23292869, 18.54491999]","Pšurnovická 1154/12, 014 01 Bytča - sever, Slovakia",15 mins,918,9.4 km,9351
Jablonové,"[49.18517221, 18.57102366]","Jablonové 30, 013 52 Jablonové, Slovakia",Bytča,"[49.23292869, 18.54491999]","Pšurnovická 1154/12, 014 01 Bytča - sever, Slovakia",11 mins,669,8.2 km,8242
Kolárovice,"[49.30192591, 18.52440607]","013 54 Kolárovice, Slovakia",Bytča,"[49.23292869, 18.54491999]","Pšurnovická 1154/12, 014 01 Bytča - sever, Slovakia",11 mins,659,9.5 km,9491
Kotešová,"[49.25393702, 18.60193398]","Kotešová 615, 013 61 Kotešová, Slovakia",Bytča,"[49.23292869, 18.54491999]","Pšurnovická 1154/12, 014 01 Bytča - sever, Slovakia",11 mins,656,5.6 km,5552
Maršová-Rašov,"[49.17370783, 18.53025055]","Unnamed Road, 013 51 Maršová - Rašov, Slovakia",Bytča,"[49.23292869, 18.54491999]","Pšurnovická 1154/12, 014 01 Bytča - sever, Slovakia",15 mins,915,10.6 km,10628
Petrovice,"[49.29596, 18.48384236]","Unnamed Road, 013 53 Petrovice, Slovakia",Bytča,"[49.23292869, 18.54491999]","Pšurnovická 1154/12, 014 01 Bytča - sever, Slovakia",14 mins,865,10.1 km,10110
Predmier,"[49.19702534, 18.53320016]","Predmier 215, 013 51 Predmier, Slovakia",Bytča,"[49.23292869, 18.54491999]","Pšurnovická 1154/12, 014 01 Bytča - sever, Slovakia",11 mins,664,6.8 km,6797
Súľov-Hradná,"[49.15236066, 18.59008595]","2003, 013 52 Súľov - Hradná, Slovakia",Bytča,"[49.23292869, 18.54491999]","Pšurnovická 1154/12, 014 01 Bytča - sever, Slovakia",16 mins,944,12.5 km,12457
Štiavnik,"[49.27741003, 18.43773433]","Štiavnik 627, 013 55 Štiavnik, Slovakia",Bytča,"[49.23292869, 18.54491999]","Pšurnovická 1154/12, 014 01 Bytča - sever, Slovakia",26 mins,1555,17.8 km,17759
Veľké Rovné,"[49.32119753, 18.56658998]","541, 013 62 Veľké Rovné, Slovakia",Bytča,"[49.23292869, 18.54491999]","Pšurnovická 1154/12, 014 01 Bytča - sever, Slovakia",17 mins,1041,13.8 km,13754
Hlboké nad Váhom,"[49.20913491, 18.59353665]","Hlboké nad Váhom 232, 014 01 Hlboké nad Váhom, Slovakia",Bytča,"[49.23292869, 18.54491999]","Pšurnovická 1154/12, 014 01 Bytča - sever, Slovakia",9 mins,527,5.3 km,5290
Zubák,"[49.15121424, 18.18541886]","1951, 020 64 Zubák, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",31 mins,1832,24.3 km,24267
Beluša,"[49.04718416, 18.3493838]","Slatinská 1691, 018 61 Beluša-Čerencové, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",18 mins,1077,13.3 km,13334
Dohňany,"[49.17051106, 18.28538835]","1939, 020 51 Dohňany, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",13 mins,796,9.4 km,9386
Dolná Breznica,"[49.0811197, 18.25830765]","Dolná Breznica 233, 020 61 Dolná Breznica, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",20 mins,1188,13.1 km,13093
Horovce,"[49.05293437, 18.25857032]","1950, 020 62 Horovce, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",20 mins,1228,13.8 km,13776
Lazy pod Makytou,"[49.25075742, 18.21701819]","Rieka 537, 020 55 Lazy pod Makytou, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",26 mins,1574,21.0 km,20982
Lednica,"[49.11570833, 18.19853258]","Lednica 169, 020 63 Lednica, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",30 mins,1774,20.0 km,19975
Lednické Rovne,"[49.07840498, 18.28815158]","Medňanská 458/21, 020 61 Lednické Rovne, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",16 mins,984,10.1 km,10105
Lúky,"[49.1895656, 18.21871799]","Lúky 70, 020 53 Lúky, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",19 mins,1142,14.4 km,14350
Lysá pod Makytou,"[49.20279995, 18.16655645]","1935, 020 54 Lysá pod Makytou, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",24 mins,1446,18.7 km,18651
Mestečko,"[49.16970382, 18.26031255]","Mestečko 182, 020 52 Mestečko, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",15 mins,878,9.9 km,9927
Mojtín,"[48.98713054, 18.40432628]","Mojtín 364, 020 72 Mojtín, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",28 mins,1665,22.0 km,21952
Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",1 min,0,1 m,0
Visolaje,"[49.06962052, 18.37468981]","61, 018 61 Visolaje, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",14 mins,848,12.4 km,12400
Záriečie,"[49.17343211, 18.23267178]","Klecenec 23, 020 52 Záriečie, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",19 mins,1150,12.9 km,12877
Dolné Kočkovce,"[49.09819161, 18.34268623]","Unnamed Road, 020 01 Dolné Kočkovce, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",16 mins,942,7.2 km,7249
Nimnica,"[49.14470483, 18.3588809]","Nimnica 177, 020 71 Nimnica, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",7 mins,420,3.4 km,3375
Streženice,"[49.10696591, 18.29234528]","Štepnická 223/7, 020 01 Streženice, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",12 mins,729,5.6 km,5615
Vydrná,"[49.21488521, 18.25967693]","Vydrná 132, 020 53 Vydrná, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",23 mins,1371,15.6 km,15614
Kvašov,"[49.07577742, 18.22614751]","1949, 020 62 Kvašov, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",24 mins,1461,17.6 km,17621
Horná Breznica,"[49.11953009, 18.24778951]","1951, 020 61 Horná Breznica, Slovakia",Púchov,"[49.14118117, 18.32886359]","Unnamed Road, 020 01 Púchov, Slovakia",23 mins,1406,17.3 km,17344
Bratislava-Podunajské Biskupice,"[48.10393644, 17.20794502]","Lieskovec 2, 821 06 Podunajské Biskupice, Slovakia",Bratislava II,Bratislava II,"Bratislava II, Slovakia",15 mins,900,7.5 km,7524
Bratislava-Ružinov,"[48.14736052, 17.17213451]","Listová 6-10, 821 05 Bratislava, Slovakia",Bratislava II,Bratislava II,"Bratislava II, Slovakia",6 mins,333,2.4 km,2357
Bratislava-Vrakuňa,"[48.15211569, 17.21264588]","Majerská 8669/48, 821 07 Bratislava, Slovakia",Bratislava II,Bratislava II,"Bratislava II, Slovakia",20 mins,1203,7.8 km,7812
Bratislava-Devínska Nová Ves,"[48.22085908, 16.9824423]","Jána Jonáša, 841 07 Devínska Nová Ves, Slovakia",Bratislava IV,Bratislava IV,"Bratislava, Slovakia",20 mins,1188,15.1 km,15086
Bratislava-Dúbravka,"[48.18716262, 17.03165981]","Pod záhradami 30-36, 841 01 Dúbravka, Slovakia",Bratislava IV,Bratislava IV,"Bratislava, Slovakia",13 mins,784,8.1 km,8105
Bratislava-Karlova Ves,"[48.1557992, 17.05446722]","Tilgnerova 2-4, 841 04 Karlova Ves, Slovakia",Bratislava IV,Bratislava IV,"Bratislava, Slovakia",13 mins,788,7.0 km,7017
Bratislava-Devín,"[48.17045941, 17.0091811]","Gronárska 4273, 841 04 Devín, Slovakia",Bratislava IV,Bratislava IV,"Bratislava, Slovakia",20 mins,1221,11.8 km,11814
Bratislava-Lamač,"[48.19897913, 17.04794593]","Bakošova 3, 841 03 Bratislava, Slovakia",Bratislava IV,Bratislava IV,"Bratislava, Slovakia",14 mins,860,8.7 km,8737
Bratislava-Záhorská Bystrica,"[48.23375672, 17.04568534]","Nevská 7, 841 06 Záhorská Bystrica, Slovakia",Bratislava IV,Bratislava IV,"Bratislava, Slovakia",19 mins,1163,14.3 km,14266
Ivachnová,"[49.08719063, 19.40771592]","034 83 Ivachnová, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",21 mins,1273,15.4 km,15359
Turík,"[49.11806556, 19.37223111]","Unnamed Road, 034 83 Turík, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",30 mins,1804,18.3 km,18305
Bešeňová,"[49.11295742, 19.44256828]","2213, 034 83 Bešeňová, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",25 mins,1490,20.5 km,20506
Hubová,"[49.09993433, 19.19478005]","Unnamed Road, 034 91 Hubová, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",29 mins,1763,22.7 km,22739
Kalameny,"[49.14739691, 19.41595602]","Unnamed Road, 034 82 Kalameny, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",37 mins,2236,22.9 km,22913
Komjatná,"[49.14198311, 19.24696772]","Komjatná 450, 034 96 Komjatná, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",29 mins,1741,21.9 km,21855
Likavka,"[49.10914555, 19.30787374]","034 95 Likavka, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",22 mins,1294,13.1 km,13116
Liptovská Lúžna,"[48.92765215, 19.32562687]","Liptovská Lúžna 781, 034 72 Liptovská Lúžna, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",24 mins,1419,18.0 km,17972
Liptovská Osada,"[48.92476392, 19.25897866]","E77, 034 73 Liptovská Osada, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",17 mins,999,14.9 km,14870
Liptovská Štiavnica,"[49.01643982, 19.3487549]","Unnamed Road, 034 01 Liptovská Štiavnica, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",26 mins,1560,16.0 km,16048
Liptovská Teplá,"[49.1152604, 19.41859263]","034 82 Lúčky, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",27 mins,1624,20.0 km,19971
Liptovské Revúce,"[48.91637352, 19.16570231]","Vyšná Revúca 750, 034 74 Liptovské Revúce, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",25 mins,1482,20.7 km,20721
Liptovský Michal,"[49.09079446, 19.43427115]","18, 034 83 Liptovský Michal, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",23 mins,1350,18.5 km,18509
Lisková,"[49.09960629, 19.35479848]","Unnamed Road, 034 81 Lisková, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",23 mins,1368,14.3 km,14314
Ľubochňa,"[49.02970394, 19.15629297]","Unnamed Road, 034 91 Ľubochňa, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",48 mins,2869,35.0 km,34960
Lúčky,"[49.14808154, 19.38149402]","Unnamed Road, 034 82 Lúčky, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",43 mins,2597,27.6 km,27618
Ludrová,"[49.05168065, 19.32791202]","Ludrová, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",19 mins,1164,12.3 km,12343
Martinček,"[49.10332766, 19.33113217]","Unnamed Road, 034 95 Likavka, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",24 mins,1413,13.9 km,13901
Potok,"[49.11376984, 19.45288235]","2218, 034 83 Potok, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",26 mins,1561,20.6 km,20620
Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",1 min,0,1 m,0
Liptovské Sliače,"[49.05237458, 19.39070314]","034 84 Liptovské Sliače, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",25 mins,1499,17.1 km,17087
Stankovany,"[49.14636647, 19.1676544]","Stankovany 53, 034 92 Stankovany, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",34 mins,2015,25.6 km,25638
Štiavnička,"[49.07161591, 19.34477769]","Štiavnička 96, 034 01 Štiavnička, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",18 mins,1087,11.2 km,11175
Švošov,"[49.12842238, 19.20204561]","Dolinky 40, 034 91 Švošov, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",34 mins,2027,25.7 km,25659
Valaská Dubová,"[49.13890815, 19.29908584]","Valaská Dubová 252, 034 96 Valaská Dubová, Slovakia",Ružomberok,"[49.03868816, 19.26556857]","Dolina Šepková, 034 03 Ružomberok, Slovakia",27 mins,1602,17.4 km,17372
Malé Kršteňany,"[48.6456545, 18.43657797]","Malé Kršteňany 75, 958 03 Malé Kršteňany, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",14 mins,856,7.8 km,7829
Nadlice,"[48.6258755, 18.24604264]","Nadlice 241, 956 32 Nadlice, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",13 mins,769,10.8 km,10768
Nedanovce,"[48.58709313, 18.29455258]","Nedanovce 3, 958 43 Nedanovce, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",13 mins,783,8.4 km,8357
Ostratice,"[48.64922927, 18.29081107]","956 34 Ostratice, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",12 mins,711,8.3 km,8262
Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",1 min,0,1 m,0
Pažiť,"[48.62435751, 18.45010161]","64, 958 03 Pažiť, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",11 mins,666,8.5 km,8537
Skačany,"[48.67053015, 18.38293153]","958 53 Skačany, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",10 mins,579,6.4 km,6432
Veľké Kršteňany,"[48.66173463, 18.42643423]","Unnamed Road, 958 03 Veľké Kršteňany, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",18 mins,1052,9.0 km,9003
Veľké Uherce,"[48.58756975, 18.45552473]","958 41 Veľké Uherce, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",18 mins,1100,11.7 km,11717
Veľký Klíž,"[48.54067306, 18.39126453]","Unnamed Road, 958 45 Veľký Klíž, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",35 mins,2070,21.7 km,21728
Žabokreky nad Nitrou,"[48.62551633, 18.30573109]","Žabokreky nad Nitrou 69, 958 52 Žabokreky nad Nitrou, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",7 mins,437,5.2 km,5161
Bošany,"[48.57603689, 18.24857386]","Fándlyho 6-8, 956 18 Bošany, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",16 mins,961,11.6 km,11637
Hradište,"[48.68797793, 18.36562089]","958 54 Hradište, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",10 mins,610,8.7 km,8688
Chynorany,"[48.61172031, 18.27646587]","Cintorínska 34-36, 956 33 Chynorany, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",11 mins,630,7.7 km,7735
Klátova Nová Ves,"[48.53931913, 18.31058018]","Klátova Nová Ves 570, 958 44 Klátova Nová Ves, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",24 mins,1455,13.9 km,13871
Kolačno,"[48.57858761, 18.41487849]","Unnamed Road, 958 41 Kolačno, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",21 mins,1282,13.1 km,13052
Livina,"[48.63983089, 18.25402801]","592, 956 32 Livina, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",13 mins,761,11.0 km,11017
Livinské Opatovce,"[48.64444034, 18.22590244]","Unnamed Road, 956 32 Livinské Opatovce, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",18 mins,1087,13.0 km,13036
Krásno,"[48.59737002, 18.3145114]","Krásno 142, 958 43 Krásno, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",10 mins,595,6.3 km,6349
Turčianky,"[48.58178589, 18.32753967]","Turčianky 13, 958 44 Turčianky, Slovakia",Partizánske,"[48.63566737, 18.36050345]","Topoľová 894/81, 958 04 Partizánske, Slovakia",13 mins,766,9.1 km,9117
Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",1 min,0,1 m,0
Abrahám,"[48.24744591, 17.62066356]","1337, 925 45 Abrahám, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",17 mins,1028,13.9 km,13898
Čierna Voda,"[48.12364511, 17.6400913]","1356, Čierna Voda, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",18 mins,1056,12.5 km,12459
Čierny Brod,"[48.14477674, 17.65348763]","Čierny Brod 450, 925 08 Čierny Brod, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",15 mins,908,9.4 km,9401
Dolné Saliby,"[48.09294697, 17.79244613]","561, 925 02 Dolné Saliby, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",18 mins,1063,14.0 km,13984
Dolný Chotár,"[47.99484791, 17.85942011]","Unnamed Road, 925 41 Dolný Chotár, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",32 mins,1948,27.6 km,27559
Gáň,"[48.23260044, 17.7203878]","Gáň 185, 924 01 Gáň, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",7 mins,398,4.7 km,4738
Horné Saliby,"[48.1137208, 17.74691012]","925 03 Horné Saliby, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",18 mins,1100,11.9 km,11905
Hoste,"[48.26117125, 17.64197427]","Hoste 43, 925 45 Hoste, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",21 mins,1242,16.4 km,16350
Jánovce,"[48.18239354, 17.52818174]","925 22 Jánovce, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",25 mins,1485,19.9 km,19852
Jelka,"[48.14398302, 17.51794398]","Jahodná 1288/27, 925 23 Jelka, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",26 mins,1553,22.1 km,22094
Kajal,"[48.1965263, 17.79264609]","1345, 925 92 Kajal, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",9 mins,558,6.7 km,6739
Košúty,"[48.173692, 17.65493368]","1336, 925 09 Košúty, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",12 mins,698,7.5 km,7523
Kráľov Brod,"[48.04872443, 17.82820598]","561, Kráľov Brod, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",23 mins,1385,20.1 km,20109
Mostová,"[48.13601995, 17.68787216]","Unnamed Road, 925 07 Horné Saliby, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",17 mins,1031,10.2 km,10168
Pata,"[48.27942617, 17.82813957]","Mládežnicka 22-24, 925 53 Pata, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",15 mins,929,15.6 km,15569
Pusté Sady,"[48.309535, 17.82325698]","Pusté Sady 36, 925 54 Pusté Sady, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",18 mins,1095,19.0 km,18979
Pusté Úľany,"[48.21864271, 17.55844107]","1335, 925 28 Pusté Úľany, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",19 mins,1165,16.9 km,16870
Sereď,"[48.28749919, 17.71313618]","Kasárenská 4505, 926 01 Sereď, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",16 mins,933,13.1 km,13075
Sládkovičovo,"[48.2028408, 17.63042915]","Richterova 18-20, 925 21 Sládkovičovo, Slovakia",Galanta,"[48.19924538, 17.72654965]","Krásna 1070/5, 924 01 Galanta, Slovakia",14 mins,864,9.8 km,9792
